run,motor,timestamp,overall_utility,rvs,fqs,recovery_rate,read_count,runtime_ms,result_hash,files_recovered,files_correct_checksum,files_missing,integrity_score,read_efficiency,mft_entries_parsed,sectors_wasted,time_to_first_file
1,MFT-First,2026-07-30T21:47:01.081637,0.9589,0.9725,0.9859992884805128,0.9333333333333333,14593,54.709449999791104,b13216d954cf42a8,30,28,0,0.9533127755316475,0.9999314739943809,42,1,2809
2,MFT-First,2026-07-30T21:47:01.128758,0.9589,0.9725,0.9859992884805128,0.9333333333333333,14593,45.365168998614536,b13216d954cf42a8,30,28,0,0.9533127755316475,0.9999314739943809,42,1,2809
3,MFT-First,2026-07-30T21:47:01.176813,0.9589,0.9725,0.9859992884805128,0.9333333333333333,14593,46.331690000442904,b13216d954cf42a8,30,28,0,0.9533127755316475,0.9999314739943809,42,1,2809
4,MFT-First,2026-07-30T21:47:01.223433,0.9589,0.9725,0.9859992884805128,0.9333333333333333,14593,44.96479599947634,b13216d954cf42a8,30,28,0,0.9533127755316475,0.9999314739943809,42,1,2809
5,MFT-First,2026-07-30T21:47:01.271116,0.9589,0.9725,0.9859992884805128,0.9333333333333333,14593,46.027430000322056,b13216d954cf42a8,30,28,0,0.9533127755316475,0.9999314739943809,42,1,2809
6,MFT-First,2026-07-30T21:47:01.318040,0.9589,0.9725,0.9859992884805128,0.9333333333333333,14593,45.26524200082349,b13216d954cf42a8,30,28,0,0.9533127755316475,0.9999314739943809,42,1,2809
7,MFT-First,2026-07-30T21:47:01.366376,0.9589,0.9725,0.9859992884805128,0.9333333333333333,14593,46.653442999740946,b13216d954cf42a8,30,28,0,0.9533127755316475,0.9999314739943809,42,1,2809
8,MFT-First,2026-07-30T21:47:01.413613,0.9589,0.9725,0.9859992884805128,0.9333333333333333,14593,45.54255199946056,b13216d954cf42a8,30,28,0,0.9533127755316475,0.9999314739943809,42,1,2809
9,MFT-First,2026-07-30T21:47:01.462005,0.9589,0.9725,0.9859992884805128,0.9333333333333333,14593,46.69916800048668,b13216d954cf42a8,30,28,0,0.9533127755316475,0.9999314739943809,42,1,2809
10,MFT-First,2026-07-30T21:47:01.509296,0.9589,0.9725,0.9859992884805128,0.9333333333333333,14593,45.61669000031543,b13216d954cf42a8,30,28,0,0.9533127755316475,0.9999314739943809,42,1,2809
11,MFT-First,2026-07-30T21:47:01.558006,0.9589,0.9725,0.9859992884805128,0.9333333333333333,14593,47.002949999296106,b13216d954cf42a8,30,28,0,0.9533127755316475,0.9999314739943809,42,1,2809
12,MFT-First,2026-07-30T21:47:01.605305,0.9589,0.9725,0.9859992884805128,0.9333333333333333,14593,45.613210000738036,b13216d954cf42a8,30,28,0,0.9533127755316475,0.9999314739943809,42,1,2809
13,MFT-First,2026-07-30T21:47:01.654104,0.9589,0.9725,0.9859992884805128,0.9333333333333333,14593,47.08661699987715,b13216d954cf42a8,30,28,0,0.9533127755316475,0.9999314739943809,42,1,2809
14,MFT-First,2026-07-30T21:47:01.701194,0.9589,0.9725,0.9859992884805128,0.9333333333333333,14593,45.41972299921326,b13216d954cf42a8,30,28,0,0.9533127755316475,0.9999314739943809,42,1,2809
15,MFT-First,2026-07-30T21:47:01.749813,0.9589,0.9725,0.9859992884805128,0.9333333333333333,14593,46.93082500125456,b13216d954cf42a8,30,28,0,0.9533127755316475,0.9999314739943809,42,1,2809
16,MFT-First,2026-07-30T21:47:01.796689,0.9589,0.9725,0.9859992884805128,0.9333333333333333,14593,45.19717000039236,b13216d954cf42a8,30,28,0,0.9533127755316475,0.9999314739943809,42,1,2809
17,MFT-First,2026-07-30T21:47:01.844818,0.9589,0.9725,0.9859992884805128,0.9333333333333333,14593,46.449016001133714,b13216d954cf42a8,30,28,0,0.9533127755316475,0.9999314739943809,42,1,2809
18,MFT-First,2026-07-30T21:47:01.894324,0.9589,0.9725,0.9859992884805128,0.9333333333333333,14593,47.8687329996319,b13216d954cf42a8,30,28,0,0.9533127755316475,0.9999314739943809,42,1,2809
19,MFT-First,2026-07-30T21:47:01.941490,0.9589,0.9725,0.9859992884805128,0.9333333333333333,14593,45.52499700002954,b13216d954cf42a8,30,28,0,0.9533127755316475,0.9999314739943809,42,1,2809
20,MFT-First,2026-07-30T21:47:01.988695,0.9589,0.9725,0.9859992884805128,0.9333333333333333,14593,45.55065699969418,b13216d954cf42a8,30,28,0,0.9533127755316475,0.9999314739943809,42,1,2809
21,MFT-First,2026-07-30T21:47:02.035835,0.9589,0.9725,0.9859992884805128,0.9333333333333333,14593,45.45056200004183,b13216d954cf42a8,30,28,0,0.9533127755316475,0.9999314739943809,42,1,2809
22,MFT-First,2026-07-30T21:47:02.082459,0.9589,0.9725,0.9859992884805128,0.9333333333333333,14593,45.001672000580584,b13216d954cf42a8,30,28,0,0.9533127755316475,0.9999314739943809,42,1,2809
23,MFT-First,2026-07-30T21:47:02.129414,0.9589,0.9725,0.9859992884805128,0.9333333333333333,14593,45.32940500030236,b13216d954cf42a8,30,28,0,0.9533127755316475,0.9999314739943809,42,1,2809
24,MFT-First,2026-07-30T21:47:02.176013,0.9589,0.9725,0.9859992884805128,0.9333333333333333,14593,44.94063399943116,b13216d954cf42a8,30,28,0,0.9533127755316475,0.9999314739943809,42,1,2809
25,MFT-First,2026-07-30T21:47:02.222418,0.9589,0.9725,0.9859992884805128,0.9333333333333333,14593,44.77776400017319,b13216d954cf42a8,30,28,0,0.9533127755316475,0.9999314739943809,42,1,2809
