run,motor,add_noise,timestamp,overall_utility,rvs,fqs,recovery_rate,read_count,runtime_ns,runtime_ms,files_recovered,files_correct_checksum,files_missing,bytes_recovered,bytes_correct,integrity_score,read_efficiency,sectors_wasted,mft_entries_parsed,rvs_total_value_recovered,rvs_total_value_ground_truth,rvs_n_recovered,rvs_n_ground_truth,per_file_count
23,MFT-First,False,2026-07-30T21:59:35.262755,0.9589,0.9725,0.9859992884805128,0.9333333333333333,14593,53797934,53.797934,30,28,0,7344892,7343892,0.9533127755316475,0.9999314739943809,1,42,15.3543,15.7888,28,30,28
24,MFT-First,False,2026-07-30T21:59:35.317439,0.9589,0.9725,0.9859992884805128,0.9333333333333333,14593,52981058,52.981058,30,28,0,7344892,7343892,0.9533127755316475,0.9999314739943809,1,42,15.3543,15.7888,28,30,28
25,MFT-First,False,2026-07-30T21:59:35.372334,0.9589,0.9725,0.9859992884805128,0.9333333333333333,14593,53207248,53.207248,30,28,0,7344892,7343892,0.9533127755316475,0.9999314739943809,1,42,15.3543,15.7888,28,30,28
26,MFT-First,False,2026-07-30T21:59:35.427291,0.9589,0.9725,0.9859992884805128,0.9333333333333333,14593,53227544,53.227544,30,28,0,7344892,7343892,0.9533127755316475,0.9999314739943809,1,42,15.3543,15.7888,28,30,28
27,MFT-First,False,2026-07-30T21:59:35.475826,0.9589,0.9725,0.9859992884805128,0.9333333333333333,14593,46819650,46.81965,30,28,0,7344892,7343892,0.9533127755316475,0.9999314739943809,1,42,15.3543,15.7888,28,30,28
28,MFT-First,False,2026-07-30T21:59:35.531437,0.9589,0.9725,0.9859992884805128,0.9333333333333333,14593,53588670,53.58867,30,28,0,7344892,7343892,0.9533127755316475,0.9999314739943809,1,42,15.3543,15.7888,28,30,28
29,MFT-First,False,2026-07-30T21:59:35.586869,0.9589,0.9725,0.9859992884805128,0.9333333333333333,14593,53683366,53.683366,30,28,0,7344892,7343892,0.9533127755316475,0.9999314739943809,1,42,15.3543,15.7888,28,30,28
30,MFT-First,False,2026-07-30T21:59:35.642618,0.9589,0.9725,0.9859992884805128,0.9333333333333333,14593,54028671,54.028671,30,28,0,7344892,7343892,0.9533127755316475,0.9999314739943809,1,42,15.3543,15.7888,28,30,28
1,MFT-First,True,2026-07-30T21:59:35.698273,0.9589,0.9725,0.9859992884805128,0.9333333333333333,14593,53636156,53.636156,30,28,0,7344892,7343892,0.9533127755316475,0.9999314739943809,1,42,15.3543,15.7888,28,30,28
2,MFT-First,True,2026-07-30T21:59:35.754400,0.9589,0.9725,0.9859992884805128,0.9333333333333333,14593,54176130,54.17613,30,28,0,7344892,7343892,0.9533127755316475,0.9999314739943809,1,42,15.3543,15.7888,28,30,28
3,MFT-First,True,2026-07-30T21:59:35.809485,0.9589,0.9725,0.9859992884805128,0.9333333333333333,14593,53068337,53.068337,30,28,0,7344892,7343892,0.9533127755316475,0.9999314739943809,1,42,15.3543,15.7888,28,30,28
4,MFT-First,True,2026-07-30T21:59:35.858613,0.9589,0.9725,0.9859992884805128,0.9333333333333333,14593,46341157,46.341157,30,28,0,7344892,7343892,0.9533127755316475,0.9999314739943809,1,42,15.3543,15.7888,28,30,28
5,MFT-First,True,2026-07-30T21:59:35.914240,0.9589,0.9725,0.9859992884805128,0.9333333333333333,14593,53139300,53.1393,30,28,0,7344892,7343892,0.9533127755316475,0.9999314739943809,1,42,15.3543,15.7888,28,30,28
6,MFT-First,True,2026-07-30T21:59:35.969470,0.9589,0.9725,0.9859992884805128,0.9333333333333333,14593,53430614,53.430614,30,28,0,7344892,7343892,0.9533127755316475,0.9999314739943809,1,42,15.3543,15.7888,28,30,28
7,MFT-First,True,2026-07-30T21:59:36.024441,0.9589,0.9725,0.9859992884805128,0.9333333333333333,14593,52466496,52.466496,30,28,0,7344892,7343892,0.9533127755316475,0.9999314739943809,1,42,15.3543,15.7888,28,30,28
8,MFT-First,True,2026-07-30T21:59:36.080360,0.9589,0.9725,0.9859992884805128,0.9333333333333333,14593,53511159,53.511159,30,28,0,7344892,7343892,0.9533127755316475,0.9999314739943809,1,42,15.3543,15.7888,28,30,28
9,MFT-First,True,2026-07-30T21:59:36.135497,0.9589,0.9725,0.9859992884805128,0.9333333333333333,14593,53235034,53.235034,30,28,0,7344892,7343892,0.9533127755316475,0.9999314739943809,1,42,15.3543,15.7888,28,30,28
10,MFT-First,True,2026-07-30T21:59:36.183014,0.9589,0.9725,0.9859992884805128,0.9333333333333333,14593,45653007,45.653007,30,28,0,7344892,7343892,0.9533127755316475,0.9999314739943809,1,42,15.3543,15.7888,28,30,28
11,MFT-First,True,2026-07-30T21:59:36.238736,0.9589,0.9725,0.9859992884805128,0.9333333333333333,14593,53338649,53.338649,30,28,0,7344892,7343892,0.9533127755316475,0.9999314739943809,1,42,15.3543,15.7888,28,30,28
12,MFT-First,True,2026-07-30T21:59:36.293347,0.9589,0.9725,0.9859992884805128,0.9333333333333333,14593,52613229,52.613229,30,28,0,7344892,7343892,0.9533127755316475,0.9999314739943809,1,42,15.3543,15.7888,28,30,28
13,MFT-First,True,2026-07-30T21:59:36.342316,0.9589,0.9725,0.9859992884805128,0.9333333333333333,14593,46654780,46.65478,30,28,0,7344892,7343892,0.9533127755316475,0.9999314739943809,1,42,15.3543,15.7888,28,30,28
14,MFT-First,True,2026-07-30T21:59:36.390613,0.9589,0.9725,0.9859992884805128,0.9333333333333333,14593,46270408,46.270408,30,28,0,7344892,7343892,0.9533127755316475,0.9999314739943809,1,42,15.3543,15.7888,28,30,28
15,MFT-First,True,2026-07-30T21:59:36.439394,0.9589,0.9725,0.9859992884805128,0.9333333333333333,14593,46880738,46.880738,30,28,0,7344892,7343892,0.9533127755316475,0.9999314739943809,1,42,15.3543,15.7888,28,30,28
16,MFT-First,True,2026-07-30T21:59:36.487810,0.9589,0.9725,0.9859992884805128,0.9333333333333333,14593,46073874,46.073874,30,28,0,7344892,7343892,0.9533127755316475,0.9999314739943809,1,42,15.3543,15.7888,28,30,28
17,MFT-First,True,2026-07-30T21:59:36.537050,0.9589,0.9725,0.9859992884805128,0.9333333333333333,14593,46481910,46.48191,30,28,0,7344892,7343892,0.9533127755316475,0.9999314739943809,1,42,15.3543,15.7888,28,30,28
18,MFT-First,True,2026-07-30T21:59:36.586301,0.9589,0.9725,0.9859992884805128,0.9333333333333333,14593,47053869,47.053869,30,28,0,7344892,7343892,0.9533127755316475,0.9999314739943809,1,42,15.3543,15.7888,28,30,28
19,MFT-First,True,2026-07-30T21:59:36.635735,0.9589,0.9725,0.9859992884805128,0.9333333333333333,14593,46924754,46.924754,30,28,0,7344892,7343892,0.9533127755316475,0.9999314739943809,1,42,15.3543,15.7888,28,30,28
20,MFT-First,True,2026-07-30T21:59:36.683639,0.9589,0.9725,0.9859992884805128,0.9333333333333333,14593,46053502,46.053502,30,28,0,7344892,7343892,0.9533127755316475,0.9999314739943809,1,42,15.3543,15.7888,28,30,28
21,MFT-First,True,2026-07-30T21:59:36.733287,0.9589,0.9725,0.9859992884805128,0.9333333333333333,14593,46866576,46.866576,30,28,0,7344892,7343892,0.9533127755316475,0.9999314739943809,1,42,15.3543,15.7888,28,30,28
22,MFT-First,True,2026-07-30T21:59:36.781809,0.9589,0.9725,0.9859992884805128,0.9333333333333333,14593,46071212,46.071212,30,28,0,7344892,7343892,0.9533127755316475,0.9999314739943809,1,42,15.3543,15.7888,28,30,28
23,MFT-First,True,2026-07-30T21:59:36.830373,0.9589,0.9725,0.9859992884805128,0.9333333333333333,14593,46129254,46.129254,30,28,0,7344892,7343892,0.9533127755316475,0.9999314739943809,1,42,15.3543,15.7888,28,30,28
24,MFT-First,True,2026-07-30T21:59:36.878974,0.9589,0.9725,0.9859992884805128,0.9333333333333333,14593,46175430,46.17543,30,28,0,7344892,7343892,0.9533127755316475,0.9999314739943809,1,42,15.3543,15.7888,28,30,28
25,MFT-First,True,2026-07-30T21:59:36.927424,0.9589,0.9725,0.9859992884805128,0.9333333333333333,14593,45740499,45.740499,30,28,0,7344892,7343892,0.9533127755316475,0.9999314739943809,1,42,15.3543,15.7888,28,30,28
26,MFT-First,True,2026-07-30T21:59:36.975313,0.9589,0.9725,0.9859992884805128,0.9333333333333333,14593,45158900,45.1589,30,28,0,7344892,7343892,0.9533127755316475,0.9999314739943809,1,42,15.3543,15.7888,28,30,28
27,MFT-First,True,2026-07-30T21:59:37.022296,0.9589,0.9725,0.9859992884805128,0.9333333333333333,14593,44895732,44.895732,30,28,0,7344892,7343892,0.9533127755316475,0.9999314739943809,1,42,15.3543,15.7888,28,30,28
28,MFT-First,True,2026-07-30T21:59:37.070434,0.9589,0.9725,0.9859992884805128,0.9333333333333333,14593,46341351,46.341351,30,28,0,7344892,7343892,0.9533127755316475,0.9999314739943809,1,42,15.3543,15.7888,28,30,28
29,MFT-First,True,2026-07-30T21:59:37.118055,0.9589,0.9725,0.9859992884805128,0.9333333333333333,14593,45125165,45.125165,30,28,0,7344892,7343892,0.9533127755316475,0.9999314739943809,1,42,15.3543,15.7888,28,30,28
30,MFT-First,True,2026-07-30T21:59:37.165647,0.9589,0.9725,0.9859992884805128,0.9333333333333333,14593,45550049,45.550049,30,28,0,7344892,7343892,0.9533127755316475,0.9999314739943809,1,42,15.3543,15.7888,28,30,28
